(2d, 7h, Td, Tc, Ts)
(2h, 4c, 7d, 7c, 8d)
(3s, 8d, Ts, Qh, Ks)
(2s, 4s, 5d, 8s, Ac)
(3d, 4c, 9h, Qs, Ad)
(5h, 7s, 9h, Ts, Js)
(2d, 4s, 6d, 8d, Jc)
(2d, 3d, 8c, Jd, Ah)
(5c, 9d, 9h, Jc, Kc)
(4h, 8d, 8s, 9h, Ac)
(4h, 4c, 7c, 9d, Jh)
(4h, 7c, Tc, Qc, Kc)
(2d, 6h, 9d, Kc, Ks)
(5d, Th, Kh, Ks, Kc)
(3c, 8s, Qc, Kh, As)
(2h, 2c, 7s, Jh, Kc)
(2d, 5d, 7h, Td, Jh)
(7d, 8d, 9c, Jd, Ad)
(5d, 5h, 8s, 9s, Th)
(3h, 4c, 6d, Th, As)
(7s, 8h, Js, Kc, As)
(5s, 7h, 9c, Tc, Td)
(6d, 6h, 7c, Kh, As)
(4c, 4d, 4s, 9h, Qs)
(3c, 5h, 9d, 9s, Ks)
(8s, 8c, 9c, Jh, Qd)
(7c, 9h, Qs, Ac, Ah)
(6h, 9h, Td, Qh, Ac)
(2h, 6s, 8h, Kc, As)
(2s, 3c, 8s, Ac, As)
(2d, 9c, Qd, Qh, Kc)
(2d, 7c, 9h, Kd, Ah)
(2s, 3d, 9d, 9s, Qs)
(2c, 4h, 5h, Tc, Kh)
(2d, 2s, 4s, 5s, Kh)
(4c, 6s, 9h, Qs, Ad)
(6s, 9d, Qh, Kh, As)
(2d, Ts, Jc, Qh, Qd)
(5c, 8c, Jc, Jd, As)
(2h, 6s, 8s, 9c, Jh)
(3h, 3d, 9s, Qh, Kd)
(4s, 9c, Kh, Ks, As)
(4h, 7h, Td, Kh, Kc)
(3s, 6d, 7s, 9d, 9c)
(3h, 4s, 4h, 5s, 6c)
(5c, 5s, 9s, Ts, Ad)
(3h, 5h, 8c, Qd, Ac)
(2s, 3d, 5c, Tc, Ad)
(2d, 4d, 8s, Jd, Kd)
(3c, 8c, 8h, 9d, Qd)
(3d, 5h, 8c, Th, Js)
(3d, 5c, 9s, Kd, Kh)
(4d, 6h, Js, Ah, Ac)
(2h, 7d, 8d, Ks, As)
(3h, 4c, Ts, Td, Ad)
(3s, 3h, Jd, Qs, Kd)
(8s, 9c, Tc, Th, Qh)
(3h, 5d, 7c, Tc, Qs)
(5h, 5d, 7c, 8d, 8c)
(4d, 5d, 8d, Ts, Ad)
(2s, 4d, 5d, 6s, As)
(2d, 3s, 6s, 8c, Jd)
(2d, 5c, 9c, Jc, As)
(2h, 5c, 6d, 9d, Jd)
(5c, 6h, Qh, Kd, Ad)
(2h, 7h, 9h, Jh, Ks)
(2d, 4c, 4d, 9h, Qs)
(3h, 7h, Td, Ks, Ac)
(2c, 5h, 7s, 9s, Jc)
(3c, 7s, 8d, Js, Ac)
(2d, 8d, Ts, Qh, As)
(2c, 4c, 6d, 7d, Jd)
(3h, 5c, 6c, Qd, Ad)
(6c, 7d, 7h, 8h, Ah)
(3c, 4h, 6s, 7c, Jh)
(5h, 9d, Th, Jc, Js)
(2h, 5c, 7s, 9c, Th)
(3s, 5h, 9h, Td, Qs)
(2d, 3s, 7h, 9c, Ks)
(3s, 3d, 4s, Qd, Ac)
(3h, 6s, 8c, 9c, Jh)
(3d, 8s, 9d, Qc, Qh)
(7s, 8s, 9d, 9s, As)
(5s, 8h, Jd, Qh, Kc)
(6d, 7c, 7h, Qc, Kd)
(6s, 7d, 9s, Qc, Ah)
(4c, 5h, 8h, Td, Ac)
(2h, 4c, 7d, 8d, 8h)
(5d, 7h, Th, Jc, Jh)
(5c, 9d, 9s, Qd, Qh)
(6s, 8c, 8s, Jh, Ah)
(2d, 4h, 7c, Ts, Qd)
(2h, 2s, 5s, 5h, Jh)
(2d, 8s, Jc, Kc, As)
(3h, 3c, 3s, Th, Jh)
(3c, 4h, Td, Qc, Ad)
(2d, 7s, 7c, Ah, As)
(2h, 9d, Ts, Kd, Ac)
(4d, 6d, 6c, 8h, 9h)
(2d, 5h, 7c, Td, Qc)
(2d, 5c, Jh, Qc, Ad)
(3h, 7s, 9h, Qd, Kh)
(2d, 4s, 7d, 9c, Tc)
(5c, Jd, Js, Qd, Ks)
(5s, 5h, 6h, 8s, Td)
(4h, 7d, 9d, Ah, As)
(3s, 6c, 9c, Ts, Qh)
(4c, 8h, 9c, Qs, Ah)
(3d, 6s, 8c, Qh, Kd)
(3d, 6s, 6h, 7c, 7h)
(4h, 6h, 6s, 7d, Ac)
(5c, 6c, 7c, 7d, Tc)
(2h, 4h, 4c, Jc, Qd)
(2s, 3s, 4s, 4c, 6c)
(6h, 9c, Jd, Ad, Ah)
(4s, 5d, 7s, 8s, Qh)
(2c, 5h, 9d, Ts, Ks)
(3d, Tc, Jc, Kd, Kc)
(2s, 4s, Ts, Ah, Ac)
(2s, 3h, 5c, Jc, Kh)
(2h, 5c, Ts, Jc, Jd)
(4h, 5d, 8h, 9h, Ts)
(2d, 3d, Ts, Ah, As)
(3d, 7d, 9c, Js, Qd)
(2s, 9s, Th, Ts, Ah)
(2s, 3d, 5d, Js, Ah)
(5c, 7d, 9c, Td, Js)
(2c, 3s, 5s, 6c, Ah)
(7s, 7d, 9h, Jd, As)
(4d, 5c, 7s, 8c, 9s)
(4s, 6h, 8s, 9c, Jc)
(5h, 7h, Jh, As, Ac)
(3s, 4d, 4h, 6s, Jd)
(2c, 5c, 5d, 7s, 8s)
(3d, 8c, 9c, Jc, Ad)
(2h, 5s, 9s, Th, Qs)
(2s, 6h, 8h, 9s, 9d)
(2s, 6c, 6s, Kd, Ac)
(3h, Th, Js, Qd, Qh)
(3c, 6s, 7d, Ah, Ac)
(4h, 5c, 9d, Qd, Kd)
(2h, 2s, 6h, 8d, Qh)
(4s, 7s, 8s, 9s, Qd)
(2c, 3s, 4d, 5h, Ah)
(2h, Td, Ks, As, Ah)
(3d, 6s, 9c, Td, Qh)
(2s, 3h, 4c, 6d, Jh)
(5s, 5h, 6h, Ts, Qd)
(2h, 4s, 5c, Qh, Ks)
(4s, 4c, 6c, 9d, Ts)
(2s, 4h, 5s, 5h, Qc)
(5d, 6h, 8c, Jd, Qs)
(6s, 7s, 8d, Jd, Qs)
(2c, 6c, 8s, Qd, As)
(2h, 5h, Qc, Kc, Ac)
(4d, 6s, 8d, Jd, Qh)
(5c, 6h, 6d, 8c, Jc)
(4c, 6d, 8h, 9s, Ah)
(5c, 9c, 9d, Td, As)
(4d, 5h, Td, Jh, Kd)
(2c, 3s, 6c, 9c, Jd)
(4h, 5c, 9c, Ts, Js)
(3s, 5c, 6s, Ks, Ah)
(3c, 4c, Td, Ts, Jh)
(2d, 8s, 9s, Qc, Kd)
(4c, 6s, 7d, 8s, Ad)
(3h, 4s, 8c, Qc, Ah)
(4c, 4h, Th, Kh, Ad)
(2h, Th, Jh, Qd, Qh)
(5h, 5s, 6h, 7c, 9h)
(4c, 4h, 5c, 6c, Qd)
(2s, 4h, Tc, Jh, Qc)
(3d, 4h, 7s, Jc, Ah)
(3c, 4s, 5h, 8c, 9d)
(2d, 5h, 6s, Jc, Ah)
(2s, 3c, 5d, 8c, Qc)
(3d, 4d, Qs, Ac, Ah)
(5s, 8s, Tc, Kh, Kd)
(2s, 3h, 5s, 7s, 7c)
(6h, 9c, Td, Js, Ks)
(3h, 7d, 8h, 8s, 9d)
(3d, 6d, 6c, Th, Jc)
(4s, 8c, 8s, Ts, Ad)
(2d, 7d, 8d, Ts, Qs)
(3s, Ts, Th, Jd, Kh)
(3c, 5s, 8h, Qs, Ks)
(Jc, Qd, Qc, Ah, Ad)
(6d, 6c, 7d, Jh, As)
(2s, 9c, 9d, Jd, Ad)
(2c, 4c, 6c, Ts, Qs)
(2d, 3d, 4c, 5s, As)
(2d, 5s, 6c, 7s, 9h)
(2s, 3h, 7c, 9h, 9d)
(4c, 6d, Td, Kd, Ac)
(5s, 9d, Td, Jc, Kh)
(3d, 3c, 4s, 5c, 9c)
(2d, 5d, 9c, 9s, Jh)
(2s, 3d, 4h, 9s, As)
(2d, 4s, 4h, Td, Kh)
(2h, 4s, 5d, 9h, Qs)
(3d, 3h, 6s, Kd, As)
(2h, 3c, 8h, Th, Ad)
(5h, 8s, 8d, Jh, Qs)
(3h, 4c, Tc, Jd, Ah)
(4h, 5d, 5h, Ts, Kc)
(4s, 9c, 9s, Jh, Qd)
(2c, 3d, 6d, 9s, Js)
(2c, 2h, 4h, 4c, Jc)
(2s, 4h, 8d, 8c, Jd)
(4s, 5s, Js, Qs, Ah)
(8s, 8d, Td, Ts, Jd)
(2d, 4c, 5h, Tc, Qs)
(2s, 5h, 7h, 7s, Qd)
(2d, 6d, 8c, Ts, Ac)
(6h, 7s, Th, Qc, Kd)
(2s, 4c, 9s, Kd, Ad)
(2s, 2c, 4d, 8d, Ts)
(3c, 3s, 6d, 6c, Tc)
(4c, 4h, 8h, Qh, As)
(4c, 7c, 8c, 9h, Ah)
(2s, 5d, 7d, Tc, Ad)
(3h, 5s, 8d, 9c, Qc)
(2d, 5c, 9s, Th, Jh)
(2s, 4h, 6c, 7d, Jh)
(4h, 6s, 9h, Tc, Ks)
(6h, 7h, Ts, Jd, Qd)
(3d, 4d, 5d, 9h, Qd)
(2h, 3h, 5d, 6d, 7s)
(3h, 8c, Td, Jc, Kc)
(5s, Qd, Kc, Kd, Kh)
(2s, 3s, 4c, 6h, 7c)
(2s, 7d, 8s, Th, Ac)
(2h, 2s, 4c, 6d, 9d)
(3s, 6s, 8h, Kh, Kd)
(8c, 9h, Ts, Tc, Qs)
(5h, 7h, 8c, Ks, Kc)
(4c, 4s, 7d, Qd, Ah)
(2s, Ts, Kh, Kd, Ac)
(4c, 5s, 8d, 9h, As)
(3s, 6c, Jd, As, Ac)
(3c, 4d, 8h, 9h, Js)
(2c, 3d, 4h, Ks, Ah)
(3d, 3c, 6h, 8d, Qs)
(2d, 5d, 5h, Ts, Kc)
(5d, 8d, 9s, Kd, Kh)
(3h, 3d, 5h, Qs, Ks)
(2c, 2s, 5d, 8s, Jd)
(6c, 8s, 8c, 9h, Kd)
(3h, 5c, 6s, 7d, Qc)
(6c, 7c, 8h, Qd, Kd)
(5s, 9d, Js, Jh, Qs)
(2c, 3d, 4c, 6s, Kh)
(3c, 3h, 9d, 9h, Kh)
(2d, 6h, 7s, 9h, Jd)
(6d, 8s, 9h, 9s, As)
(5s, 7c, 9s, Jc, Qd)
(2s, 7s, 7c, 9h, Ad)
(4c, 5c, 6d, Js, Qd)
(2c, 4h, 4c, Qc, Qh)
(2s, 3s, 8h, Tc, Qd)
(2h, 8s, 9d, Th, Qh)
(2s, 4c, 5s, 6c, Kd)
(2h, 5s, 8d, Th, Ac)
(2s, 2h, 5h, 7d, Ac)
(4c, 4d, Qs, Qd, Kc)
(5c, 6c, 7s, Qc, Ad)
(7c, Td, Qc, Kh, Ad)
(2d, 5d, 7d, Js, Qh)
(8h, Th, Jh, Ks, Ah)
(2h, 3d, 5d, 8s, Ts)
(5c, Jd, Qc, Kh, Ac)
(2h, 3h, Td, Jc, Qc)
(2c, 4c, Td, Qs, Ks)
(2s, 4d, 8s, Ks, As)
(2s, 3h, 5s, 7h, Td)
(2s, 3h, 7c, Td, Th)
(2c, 3c, 9h, Jd, Ah)
(2c, 4c, 4h, 6s, Th)
(6h, 7c, 9s, Kh, Kd)
(6s, 7c, 8s, 9h, Js)
(8c, Th, Qs, Kc, Ac)
(6h, 7s, 8c, 8s, Jd)
(2c, 6s, 7h, Qs, Qh)
(2s, 4h, 7s, 9s, Jc)
(5c, 6d, 9h, Qh, Ad)
(3c, 8d, Ts, Jh, Ac)
(8d, 8h, 9c, 9s, Jc)
(5d, 7s, 7d, Td, Ks)
(7c, 7s, 7h, 8c, Jc)
(5d, 6c, 7h, 9d, Td)
(6h, 7s, Js, Jc, Kh)
(4s, 5d, 8d, 9d, Js)
(2h, 7d, 8h, 9h, Ts)
(2s, 3h, 8s, Jc, Ad)
(4h, 4s, 5s, 8h, Qc)
(6d, 7d, 8d, Th, Ad)
(5s, 9d, Js, Jh, Ks)
(6d, 8d, 9d, Tc, Kc)
(2s, 7c, 8c, Td, Qd)
(3h, 7h, Th, Jc, Qc)
(7d, Jh, Qc, Qh, As)
(2s, 4h, 5s, 8s, 9c)
(6c, 9h, Ts, Qh, Kc)
(3s, 3h, 4s, Th, Js)
(3c, 4d, 5c, 7s, Jc)
(5s, 7h, 9h, Qs, As)
(4s, 4c, 5h, 9s, Ah)
(2c, 7s, 7c, Qs, Kc)
(6h, 9c, Tc, Td, Js)
(4s, 5h, 5s, 8c, Qc)
(2c, 8d, Qs, Ks, Kh)
(3h, 3s, 8d, 9h, Tc)
(2s, 2d, 6d, 8h, Jc)
(5s, Js, Qh, Ac, As)
(2d, 7s, 8s, Qh, As)
(3d, 4d, Qd, Qs, Qc)
(2h, 3d, 5c, Jc, Qh)
(7c, 8h, 8s, 9h, Qd)
(3h, 6c, 8h, Ks, Ac)
(3d, 7s, Qc, Qd, Ks)
(6c, 7s, Js, Jd, Ks)
(4s, 5s, 6d, 7s, As)
(5d, 5c, 6h, Ts, Jd)
(9h, 9d, Th, Ks, As)
(2h, 4s, 5h, Kc, Ks)
(3h, 8d, 8c, Kh, Ah)
(3s, 3d, 7s, 8s, Kc)
(3d, 5c, 5h, 7s, 7h)
(4d, 5h, 8h, 9s, Qs)
(7c, Ts, Th, Qh, Ks)
(3h, 6c, 8h, 8c, Jc)
(3h, 5c, 7c, 7h, Qh)
(2s, 5s, Td, Kd, Ac)
(2s, 3s, 5h, 8s, Td)
(2s, 5h, 7s, 7c, Qd)
(4c, 9h, Td, Th, As)
(2s, 7c, 7d, 8d, Js)
(5d, 5s, 6s, 8h, Qc)
(4s, 8d, 9h, Jd, Ad)
(4s, 4d, 5c, Qd, Qs)
(4d, 5d, 7s, Ts, Qh)
(2c, 6s, 8h, 9s, Ad)
(6d, Td, Ts, Qc, Kh)
(2h, 6d, Tc, Qc, Ad)
(3d, 4c, 5s, Th, Qh)
(4h, 6d, 7d, 8s, Jh)
(5c, 9s, Jh, Jd, Kd)
(3c, 5c, 7d, 9s, As)
(6s, 8s, 8h, Tc, Ac)
(2c, 3h, 5s, 8d, Ah)
(2h, 4h, 5s, 6s, Tc)
(4h, 6c, 7c, Qh, Ks)
(2c, 6h, 7s, 8h, Js)
(3s, 6c, 7s, 9s, Ks)
(2c, 6d, 7c, 8d, Tc)
(7c, 8s, 9d, Jh, Ah)
(2d, 2h, 5s, Qc, Qd)
(3d, 5s, 5d, 8c, 9h)
(3h, 4s, Th, Js, Ah)
(5h, 6d, Td, Tc, Qd)
(4d, 8s, Tc, Qs, Ac)
(3c, Th, Td, Jc, As)
(4c, 6d, 8d, 8h, Tc)
(2h, 6d, 8h, Jh, Kc)
(5s, 9c, Jc, Ac, Ad)
(2s, 2h, 3h, 5c, 7h)
(5s, 6d, Jd, Qc, Qd)
(3c, 3h, 7s, 8c, Jc)
(3s, 4c, 5s, As, Ac)
(8d, 9h, Ad, Ah, Ac)
(3c, 4c, 4s, 5d, 5s)
(2s, 3d, 4s, 4c, 7d)
(6c, 7s, 7h, 8d, Ah)
(2d, 2h, 7d, 7h, Qs)
(7c, 9d, Th, Kh, As)
(3d, 7d, Qh, Ad, Ah)
(4c, 7c, Ts, Kc, Ad)
(2c, 5s, 8s, Td, Jd)
(3c, 9h, Ts, Th, Qc)
(4h, 4d, 5d, 7h, Qc)
(3s, 4s, Js, Jh, Kd)
(2d, 5c, 5d, 6c, Ah)
(2s, 4c, 5h, 6h, 8d)
(5c, 5h, 5s, Ks, Ac)
(2h, 6h, 9s, Ah, Ac)
(2d, 9s, Td, Jd, Ad)
(2d, 3d, 8s, Td, Tc)
(4s, 4c, Ts, Jh, As)
(9c, 9s, Qc, Qh, Kc)
(6d, 8s, Tc, Jd, Ac)
(3h, 5s, Qd, Qs, Kd)
(2s, 4d, 4c, 9d, Qd)
(2h, 2s, 3s, 4c, 5s)
(4d, 7c, Tc, Kc, Ah)
(6s, 6d, 8h, Ts, Qd)
(5d, 7d, 8d, 8c, Qs)
(2h, 6s, Tc, Kc, Ad)
(2d, 5d, 8s, 8d, Ah)
(2h, 8s, 8d, Jh, Ks)
(2h, 4d, 4c, Qs, Ac)
(2s, 9h, Jh, Qd, Ac)
(4c, Tc, Th, Jh, Ad)
(2s, 3c, 5d, Jc, Qs)
(6h, 7c, Qc, Qs, Ah)
(2s, 4d, 5s, 9h, Tc)
(2d, 4h, 5s, 7c, 8s)
(2h, 4h, 5s, 6c, Jh)
(2h, 5c, 6d, 7c, 7h)
(3c, 6h, 7h, Qd, Qc)
(6h, 9d, Jd, Kc, Ah)
(2h, 3s, 4d, 5c, Qc)
(3c, 7c, 7d, Th, Ks)
(4c, 9d, Ts, Jh, Kh)
(4s, 9c, Js, Qc, Qd)
(7s, Th, Js, Jc, Jh)
(2d, 3h, Tc, Qh, Kh)
(2d, 3d, 7c, 9h, Th)
(3s, 4h, 7s, Th, Ks)
(8c, 8s, Td, Jd, Jc)
(7c, 8h, Jh, Kh, Ac)
(2c, 3d, 7s, 8s, Jc)
(7d, 7h, 8c, Jh, Ks)
(2h, 8s, Jh, Kd, Ac)
(3h, 3d, 8h, Qd, Qc)
(2d, 2c, 4s, 9s, Jc)
(6s, 7s, 8s, Ts, Kh)
(7h, Th, Jc, Qc, Kd)
(2c, 5c, 5h, 6s, Ah)
(3s, 5c, 6s, 7d, 9d)
(2h, 3h, 6h, Jh, Kh)
(2c, 8d, 9h, Jh, Ad)
(2s, 6c, 6h, 9d, Ts)
(2d, 6d, 7c, 8c, Js)
(2h, 3d, Kd, As, Ad)
(7c, Jd, Kc, Ad, Ac)
(4s, 6d, 9d, Jc, Qh)
(5c, 9d, 9c, Jd, Jh)
(4c, 6d, 8s, Ts, Jc)
(5s, 9c, Js, Qh, Kc)
(4h, 5s, 8h, 9d, Kc)
(2c, 5c, 8h, 9c, Jh)
(3s, Ts, Tc, Qs, Ks)
(5s, 8h, 9h, Td, Ac)
(7s, 8s, Qs, Ad, As)
(2c, 5s, 7h, Qs, Ks)
(2h, 3d, 3h, Td, Jd)
(4h, 5h, 6c, Tc, Qd)
(5h, 6h, 8d, Ts, Ks)
(4h, 9c, 9h, Th, Kd)
(2s, 2h, 3s, 8s, Qd)
(2c, 5c, 7s, 8c, Ad)
(3s, 6s, 7c, 7s, Kd)
(7d, 9d, Jh, Qc, Kd)
(6h, 7d, Ts, Js, Qc)
(2h, 3h, 9d, Tc, As)
(3c, 3s, 5h, 9d, Ts)
(6c, 6s, 8d, Qc, Ah)
(3c, 5s, 6s, Jd, As)
(5h, 8h, 9s, Qd, Kh)
(2s, 5h, 6s, 7d, 7s)
(4h, 5s, 8d, 9s, Kd)
(4h, 9c, Jd, Jh, Ks)
(7s, 9s, Tc, Qh, Kc)
(2h, 6s, 8c, Th, Ad)
(4s, 9s, Qh, Kh, Ah)
(2c, 6h, 7d, 8c, Td)
(2s, 6d, 9d, Ts, Th)
(3h, 5h, 5d, Ts, Ad)
(3s, 4h, 6h, Tc, Ad)
(2s, 4c, 7d, 8c, Qs)
(2d, 5c, 6h, 8d, 9d)
(3s, 5d, 6c, 8c, Qh)
(3h, 9d, Td, Jh, Ad)
(3c, 5h, 5d, Td, Jh)
(3c, 8s, Jc, Ad, As)
(3h, 4d, 7s, 8c, Td)
(2d, 3h, 4h, 5h, 7c)
(5c, Ts, Js, Ah, Ad)
(2h, 4s, 8c, Qc, Ac)
(2h, 5s, 6s, 7d, Ks)
(5h, 7h, 7d, 8h, Qc)
(6s, 6c, 7c, Ts, Qs)
(2h, 4s, 7h, 7s, Th)
(5h, 8c, 8s, Qc, Qs)
(2h, 4c, 6h, 6s, As)
(5d, 5c, 7s, 8d, Kh)
(5d, 6d, 7h, Qd, As)
(2c, 3h, 7h, 9h, Kh)
(3d, 4h, 7h, 8c, 9c)
(2s, 3c, 5d, 7h, 8c)
(5d, 6c, 8c, Tc, Ad)
(5s, 5h, Ts, Td, Qs)
(2c, 3c, 4c, 8c, Kh)
(5d, 7s, Th, Td, Ac)
(2h, 7d, 8s, Js, Qh)
(2c, 3c, 8s, 8d, 9c)
(8h, 9d, Js, Kc, Kd)
(6d, 6c, Tc, Ah, Ac)
(2s, 4d, 8h, Ts, Kc)
(5s, 6c, 9s, Th, Qd)
(6c, 7c, 7d, 8s, Qh)
(2h, 3c, 5c, Ts, Qh)
(4d, 5c, 6c, 8c, Ac)
(7h, 9d, Ks, Kh, Ah)
(7h, 7s, 8s, Jh, Qd)
(8c, 9c, 9h, Qc, As)
(2d, 6d, 9h, Qs, Kc)
(4s, 9c, 9h, Td, Ks)
(2h, 3s, 4d, 6c, 8d)
(3d, Ts, Td, Js, Kd)
(5h, 9c, Js, Ks, Ad)
(3h, 4c, 6c, 7c, Th)
(6h, 6c, 7h, 7d, 8d)
(4c, 5d, 6h, 8c, Ts)
(2h, 3h, 8d, 9h, Qd)
(2c, 3d, 4c, 6d, 8s)
(2h, Tc, Jd, Qc, Ac)
(2s, 7s, 7d, 9h, Ks)
(2c, 6c, Qs, Kh, Ad)
(2h, 4c, 9s, Jd, Qs)
(3c, 6s, 7h, 8d, Jh)
(3s, Th, Jh, Kc, Ah)
(2d, 4c, 5c, 8d, Qc)
(3s, 6d, 6c, 7s, Td)
(4s, 6c, 9h, Qs, Kh)
(8d, 8c, 9d, Tc, Ts)
(2d, 6h, 6d, Jc, Qs)
(2d, 6c, 7d, Ts, Kd)
(3c, 8c, Ts, Qc, Qh)
(3c, 4s, 4c, 8s, Tc)
(3c, 5h, 7c, Jh, Qs)
(6s, 8s, Th, Jc, Js)
(7c, Ts, Jh, Qc, Ks)
(9s, 9d, Ts, Jd, Kh)
(2d, 4c, 8s, 9c, Kh)
(2h, 5h, 5c, Ks, Ad)
(2h, 3d, 6c, Jd, Qc)
(3d, 3h, 8h, Td, Js)
(5d, 5s, 8c, 9h, As)
(5c, 6h, Tc, Kd, Kc)
(3c, 4c, 5d, 7c, Js)
(2h, 5s, 8d, 8c, Qs)
(4d, 6h, 9s, Td, Th)
(3c, 7c, 8s, Jc, Qs)
(2d, 6c, 8h, 9c, Js)
(7h, 8c, 8d, Jh, Ks)
(6h, 7s, 8c, Th, Kd)
(2h, 6h, 9h, 9d, Qs)
(2c, 6c, Th, Jd, Kd)
(5h, 9h, 9s, Kc, Ad)
(5c, Th, Tc, Js, Ad)
(5d, 9c, Td, Qs, Ac)
(2c, 5h, 7d, 8c, Jc)
(3d, 6h, 7h, 9d, Jd)
(2d, 3c, 8s, Tc, Kd)
(4h, 8s, 8c, Ts, Ks)
(2c, 4d, 9c, Qh, Ah)
(4s, 5s, 9d, 9c, Td)
(3d, 7s, 7c, Jc, Qc)
(2c, 2h, 7h, 8h, 8c)
(2d, 9h, 9s, Jc, Jh)
(2h, 5h, 5d, 8h, Qc)
(8h, 9d, Ts, Qc, Kh)
(3h, Td, Js, Jd, As)
(4s, 9c, Th, Qc, Ad)
(4s, 6s, 9s, Js, Kc)
(2c, 7h, 8h, Jd, Ac)
(4s, 7s, 9h, Jc, Qs)
(4d, 5s, 6c, 7d, 8h)
(4c, 5c, 7c, 8d, 9h)
(4d, 6c, Ks, Ah, Ac)
(2d, 3h, 6s, Jc, Ac)
(6s, 8h, 9h, Qs, Ac)
(2s, 8s, Ts, Qd, Kc)
(2s, 5h, 9d, Ac, As)
(2c, 6h, 7c, Tc, Qd)
(3c, 3d, 4s, 8c, 9d)
(6h, Jh, Qc, Kd, Ad)
(4d, 4h, 7h, 9d, Ac)
(5s, 6h, 7s, Jc, Jh)
(5c, 5h, 8d, 9d, Jc)
(2d, 6d, 8c, Kc, As)
(2d, 2c, 3s, 8c, Jh)
(2h, 6h, 6s, 8s, 9s)
(2d, 6d, Jc, Qh, Qs)
(2s, 2h, Td, Jh, Qd)
(6h, 6s, 8h, Ts, Qc)
(8s, 8d, 9s, 9d, As)
(3c, 4d, 6d, Js, Qs)
(5h, 6h, 7d, 7c, Qh)
(2s, 8h, 9c, 9s, Jd)
(7h, 8h, Js, Jc, Ks)
(4s, Ts, Jh, Qh, Kh)
(3d, 4h, 5h, 9s, Jc)
(2c, 3d, 8h, 9h, Qh)
(2h, 3s, 3c, 7c, Jh)
(4h, 7h, 8s, Jc, Qd)
(5s, 5d, 6s, 9d, Ks)
(3c, 4h, 5h, 5s, 5c)
(3s, 3d, 5s, 9c, Qs)
(2h, 8h, Js, Jh, Ac)
(3h, Jh, Jd, Kc, As)
(2h, 7c, Jc, Qc, Ac)
(6h, 7s, Th, Qd, Kd)
(2d, 5h, 7d, 7c, Qh)
(4s, 6c, 9h, Jc, Ks)
(2d, 5h, 6c, Qh, Kh)
(5c, 5s, 7c, Js, Kd)
(7h, 8s, Tc, Jd, Ah)
(4s, 4c, Ts, Ad, Ah)
(4d, 7s, 7d, 9d, Qs)
(9c, Th, Jc, Ks, Ah)
(3s, 4c, Ts, Jh, Qh)
(3s, 5c, 7d, 8s, Qd)
(3h, 4c, 5h, Kc, Kd)
(2s, 6h, 9s, Jh, Js)
(2h, 4c, 5d, 6h, Kh)
(5c, 7h, 9c, Td, Ts)
(2c, 6s, 7c, 9c, Ks)
(2s, 9s, 9h, Jh, Ac)
(2s, 8d, Jh, Js, Ks)
(2d, 3h, 9h, 9d, Qd)
(6d, Jc, Kc, Ah, Ad)
(3c, 6s, 7s, Ts, Jh)
(2c, 6c, Ts, Qd, Kc)
(3s, 6h, 7d, Ts, Jd)
(3h, 5d, 7h, 9h, Ks)
(4d, 7d, Tc, Td, Jh)
(5s, 5h, 6s, Jc, As)
(5s, 6h, 7c, 8s, Ac)
(2d, 3d, 5h, 5d, 5c)
(2c, 5s, 7c, 8h, Tc)
(6c, 6s, 7s, 7c, Qs)
(2c, 7s, Kd, Ac, Ad)
(3s, 8s, 8c, Td, Ks)
(2s, 3s, 4c, 7c, Jh)
(2h, 4d, 5c, 6d, 9h)
(4h, 5h, 6h, 7s, 7c)
(2s, 4d, 6d, 7h, 9s)
(4h, 9d, Th, Ah, As)
(2h, 7h, 8d, 8h, Ks)
(2h, 6s, Js, Ks, Ac)
(3s, 6c, 7c, 8d, Th)
(5d, 9s, Js, Qh, Ad)
(2c, 3c, 6c, Qd, Ac)
(3d, 5h, 8h, Ks, Ac)
(2d, 5d, 8h, Js, As)
(3s, 7s, 8h, Td, Qc)
(5d, 5s, 7d, Ah, Ac)
(8s, 9s, Tc, Ks, Ac)
(4d, 8h, 9s, Tc, Jd)
(6d, 9s, Qd, Kc, As)
(7d, 9h, Th, Kd, Ah)
(2s, 8d, 8h, 8c, Td)
(5d, 7c, 8s, Tc, Qh)
(6d, 8s, Ts, Kc, Ac)
(2h, 4h, 9d, 9h, Jc)
(3c, 3s, Js, Qs, Kh)
(2c, 4h, 9d, Jh, Qd)
(4c, 7h, Ts, Tc, Ac)
(2c, 3h, 4s, 5h, Ks)
(3s, 3d, 4c, 8c, 9s)
(7c, 8s, 9h, Qc, Qd)
(4s, 5s, 9c, Ah, Ad)
(4s, 5c, 5h, 9s, Tc)
(3h, 5d, 6c, Ah, As)
(5d, 5s, 6s, 8h, Ah)
(2s, 2c, 4d, 7c, Kh)
(3s, 6d, 9d, Tc, Js)
(7s, 7c, 9h, 9s, Kh)
(3h, 6h, 7s, 8d, 8c)
(3h, 5h, 7h, 8h, Ad)
(2c, 3h, 4s, 7d, Qh)
(2h, 2c, 5h, 9d, 9c)
(3s, 7d, Jc, Jh, As)
(4h, 6c, 6s, 8h, Qc)
(2c, 4d, 9d, 9h, Js)
(3d, 7h, Th, Jc, Ad)
(3d, 8h, 8d, Js, Ad)
(4c, 6s, 8s, 9s, Jh)
(2c, 3s, 5d, 5h, 7h)
